Date,Customer_ID,Order_ID,User_Name,User_Email,Phone_Number,City,Product Name,Region,State,Rating,Brand,Product_Category,Product_ID,Revenue,Net_Profit,Units_Sold,Unit_Price,Discount_Percent
10/8/2024,CUST100029,ORD200029,Ananya,ananya29@gmail.com,9187730000,Chandigarh,Shaving Cream,South,Punjab,4,Huda Beauty,Wellness,P100029,57523.02,12419.66,271,409.49,5.87
11/8/2024,CUST100030,ORD200030,Sanya,sanya30@gmail.com,9182140000,Bangalore,Perfume,North,Karnataka,5,Nykaa Cosmetics,Skincare,P100030,25676.6,6678.17,376,4576.2,8.98
12/8/2024,CUST100031,ORD200031,Diya,diya31@gmail.com,9197570000,Delhi,Conditioner,South,Delhi,3,Huda Beauty,Skincare,P100031,184448.88,20774.68,96,2136.83,48.51
8/13/2024,CUST100032,ORD200032,Arjun,arjun32@gmail.com,9196130000,Ahmedabad,Perfume,West,Gujarat,4,Maybelline,Beauty,P100032,35413.37,37202.59,262,2351.53,27.58
8/14/2024,CUST100033,ORD200033,Sneha,sneha33@gmail.com,9183720000,Coimbatore,Sunscreen,North,Tamil Nadu,4,Lakme,Accessories,P100033,115004.43,35609.89,365,1814.27,23.41
8/15/2024,CUST100034,ORD200034,Vikram,vikram34@gmail.com,9198790000,Chennai,Hair Oil,North,Tamil Nadu,4,Maybelline,Beauty,P100034,117285.93,36793.07,469,3174.78,49.22
8/16/2024,CUST100035,ORD200035,Akshay,akshay35@gmail.com,9165560000,Nagpur,Shaving Cream,North,Maharashtra,5,L'Oreal,Skincare,P100035,74551.48,38659.88,353,3943.6,27.85
8/17/2024,CUST100036,ORD200036,Aarav,aarav36@gmail.com,9168410000,Mumbai,Face Mask,North,Maharashtra,5,L'Oreal,Fashion,P100036,71151.17,6697.78,288,3275.92,33.06
8/18/2024,CUST100037,ORD200037,Shreya,shreya37@gmail.com,9160170000,Mumbai,Serum,North,Maharashtra,4,Minimalist,Haircare,P100037,134049.1,5946.36,436,3766.21,16.64
8/19/2024,CUST100038,ORD200038,Vivaan,vivaan38@gmail.com,9176190000,Mumbai,Serum,East,Maharashtra,2,The Body Shop,Fashion,P100038,78271.26,17167.68,83,4539.27,19.11
8/20/2024,CUST100039,ORD200039,Vivaan,vivaan39@gmail.com,9183950000,Kolkata,Toner,West,West Bengal,5,Huda Beauty,Beauty,P100039,51767.96,27603.53,225,4331.38,29.72
8/21/2024,CUST100040,ORD200040,Sanya,sanya40@gmail.com,9163930000,Kolkata,Shampoo,North,West Bengal,4,Huda Beauty,Haircare,P100040,80427.21,17643.79,412,3402.89,3.49
8/22/2024,CUST100041,ORD200041,Kavya,kavya41@gmail.com,9173610000,Jaipur,Body Wash,West,Rajasthan,4,Nykaa Cosmetics,Skincare,P100041,161724.75,35704.94,223,1151.73,12.79
8/23/2024,CUST100042,ORD200042,Rahul,rahul42@gmail.com,9187640000,Nagpur,Soap,East,Maharashtra,5,The Body Shop,Fashion,P100042,193329.21,28724.12,469,3224.74,9.84
8/24/2024,CUST100043,ORD200043,Kavya,kavya43@gmail.com,9178330000,Jaipur,Lip Balm,East,Rajasthan,4,Nykaa Cosmetics,Skincare,P100043,127554.1,25395.44,118,2579.81,0.79
8/25/2024,CUST100044,ORD200044,Akshay,akshay44@gmail.com,9191940000,Jaipur,Deodorant,East,Rajasthan,5,L'Oreal,Haircare,P100044,156638.14,2934.41,482,3614.37,26.85
8/26/2024,CUST100045,ORD200045,Shreya,shreya45@gmail.com,9188290000,Delhi,Face Mask,South,Delhi,2,Lakme,Haircare,P100045,107032.15,7095.88,192,4181.37,28.05
8/27/2024,CUST100046,ORD200046,Rahul,rahul46@gmail.com,9165800000,Chandigarh,Aftershave,South,Punjab,3,Maybelline,Fashion,P100046,125339.81,17183.33,79,3739.34,19.2
8/28/2024,CUST100047,ORD200047,Akshay,akshay47@gmail.com,9198560000,Jaipur,Hair Oil,North,Rajasthan,3,Nykaa Cosmetics,Skincare,P100047,197629.24,39057.35,78,4248.15,13.44
8/29/2024,CUST100048,ORD200048,Kavya,kavya48@gmail.com,9163200000,Hyderabad,Face Wash,East,Telangana,3,MAC,Wellness,P100048,88245.35,13442.91,147,412.95,32.6
8/30/2024,CUST100049,ORD200049,Diya,diya49@gmail.com,9171520000,Mumbai,Sunscreen,South,Maharashtra,3,Nykaa Cosmetics,Skincare,P100049,14184.68,25236.02,107,254.94,6.73
8/31/2024,CUST100050,ORD200050,Ishita,ishita50@gmail.com,9184400000,Patna,Body Lotion,East,Bihar,3,Lakme,Haircare,P100050,191444.38,39557.35,382,1366.65,25.93
1/9/2024,CUST100051,ORD200051,Ananya,ananya51@gmail.com,9176980000,Pune,Hair Oil,South,Maharashtra,5,Lakme,Skincare,P100051,158819.28,10634.6,271,4513.26,38.4
2/9/2024,CUST100052,ORD200052,Akshay,akshay52@gmail.com,9181950000,Chandigarh,Aftershave,East,Punjab,5,Huda Beauty,Beauty,P100052,80263.76,6750.01,390,4135.93,8.21
3/9/2024,CUST100053,ORD200053,Sanya,sanya53@gmail.com,9194790000,Chandigarh,Face Cream,South,Punjab,3,Maybelline,Wellness,P100053,196496.62,21898.7,244,3445.36,37.66
4/9/2024,CUST100054,ORD200054,Ananya,ananya54@gmail.com,9181960000,Indore,Soap,West,Madhya Pradesh,4,Lakme,Accessories,P100054,69761.61,22120.43,73,3533.72,38.04
5/9/2024,CUST100055,ORD200055,Shreya,shreya55@gmail.com,9182300000,Kolkata,Toner,North,West Bengal,2,The Body Shop,Beauty,P100055,75051.92,36883.28,357,3660.69,3
6/9/2024,CUST100056,ORD200056,Aarav,aarav56@gmail.com,9187100000,Chennai,Moisturizer,North,Tamil Nadu,4,Nykaa Cosmetics,Accessories,P100056,122336.54,1154.56,468,4718.75,0.94
7/9/2024,CUST100057,ORD200057,Rohan,rohan57@gmail.com,9180910000,Coimbatore,Sunscreen,West,Tamil Nadu,4,Nykaa Cosmetics,Fashion,P100057,55595.13,16354.37,354,4177.74,48.7
8/9/2024,CUST100058,ORD200058,Sneha,sneha58@gmail.com,9195390000,Ahmedabad,Serum,North,Gujarat,5,L'Oreal,Accessories,P100058,140015.73,12562.69,422,3154.61,9.67
9/9/2024,CUST100059,ORD200059,Meera,meera59@gmail.com,9196060000,Lucknow,Soap,East,Uttar Pradesh,5,Lakme,Skincare,P100059,31417.21,22885.01,26,3362.01,41.11
10/9/2024,CUST100060,ORD200060,Aarav,aarav60@gmail.com,9196750000,Chennai,Toothpaste,North,Tamil Nadu,1,MAC,Accessories,P100060,22497.04,472.28,210,1147.33,28.09
11/9/2024,CUST100061,ORD200061,Aditya,aditya61@gmail.com,9196340000,Jaipur,Shampoo,North,Rajasthan,4,Huda Beauty,Haircare,P100061,107440.72,28471.45,92,3320.86,13.22
12/9/2024,CUST100062,ORD200062,Vikram,vikram62@gmail.com,9176450000,Mumbai,Conditioner,South,Maharashtra,5,Maybelline,Beauty,P100062,111543.24,19451.09,125,2180.93,6.5
9/13/2024,CUST100063,ORD200063,Akshay,akshay63@gmail.com,9168450000,Patna,Body Lotion,South,Bihar,3,MAC,Beauty,P100063,22224.36,28057.5,435,849.51,24.83
9/14/2024,CUST100064,ORD200064,Rohan,rohan64@gmail.com,9195520000,Jaipur,Conditioner,West,Rajasthan,5,Huda Beauty,Accessories,P100064,192871.08,17967.47,73,4051.37,20.37
9/15/2024,CUST100065,ORD200065,Diya,diya65@gmail.com,9161760000,Jaipur,Serum,South,Rajasthan,4,Nykaa Cosmetics,Beauty,P100065,115084.04,19020.29,480,2600.21,34.94
9/16/2024,CUST100066,ORD200066,Sneha,sneha66@gmail.com,9197770000,Ahmedabad,Body Wash,West,Gujarat,5,MAC,Haircare,P100066,31055.96,35832.43,123,4889.38,45.21
9/17/2024,CUST100067,ORD200067,Ananya,ananya67@gmail.com,9165860000,Indore,Face Mask,North,Madhya Pradesh,5,Huda Beauty,Beauty,P100067,62977.06,8514.84,309,1480.23,40.26
9/18/2024,CUST100068,ORD200068,Diya,diya68@gmail.com,9178990000,Bangalore,Perfume,South,Karnataka,3,Nykaa Cosmetics,Accessories,P100068,160246.61,8777.8,184,2455.28,13.72
9/19/2024,CUST100069,ORD200069,Aarav,aarav69@gmail.com,9188690000,Nagpur,Face Wash,South,Maharashtra,3,Nykaa Cosmetics,Wellness,P100069,105123.07,22423.12,187,2295.18,43.95
9/20/2024,CUST100070,ORD200070,Rahul,rahul70@gmail.com,9177290000,Pune,Face Wash,North,Maharashtra,5,Nykaa Cosmetics,Wellness,P100070,38441.52,26442.95,198,691.82,41.67
9/21/2024,CUST100071,ORD200071,Neha,neha71@gmail.com,9194050000,Ahmedabad,Conditioner,South,Gujarat,4,Nykaa Cosmetics,Fashion,P100071,21466.95,14252.06,78,2187.96,46.46
9/22/2024,CUST100072,ORD200072,Shreya,shreya72@gmail.com,9192710000,Indore,Sunscreen,East,Madhya Pradesh,5,The Body Shop,Beauty,P100072,86724.11,20828.5,348,1509.01,22.93
9/23/2024,CUST100073,ORD200073,Shreya,shreya73@gmail.com,9186700000,Pune,Aftershave,South,Maharashtra,3,Nykaa Cosmetics,Accessories,P100073,68145.53,9191.47,186,885.57,38.43
9/24/2024,CUST100074,ORD200074,Rahul,rahul74@gmail.com,9194970000,Indore,Soap,East,Madhya Pradesh,4,L'Oreal,Beauty,P100074,131527.55,5522.83,344,1482.56,29.58
9/25/2024,CUST100075,ORD200075,Vikram,vikram75@gmail.com,9191580000,Delhi,Shaving Cream,West,Delhi,5,MAC,Skincare,P100075,185124.15,9606.68,253,1242.93,15.53
9/26/2024,CUST100076,ORD200076,Sneha,sneha76@gmail.com,9172280000,Hyderabad,Face Cream,South,Telangana,5,Huda Beauty,Haircare,P100076,50298.33,36663.29,13,3696.96,49.72
9/27/2024,CUST100077,ORD200077,Sanya,sanya77@gmail.com,9163020000,Indore,Serum,South,Madhya Pradesh,3,L'Oreal,Beauty,P100077,171191.55,32092.54,299,250.8,1.92
9/28/2024,CUST100078,ORD200078,Shreya,shreya78@gmail.com,9185550000,Hyderabad,Lip Balm,East,Telangana,3,The Body Shop,Beauty,P100078,184171.93,5695.8,76,3125.57,8.11
9/29/2024,CUST100079,ORD200079,Amit,amit79@gmail.com,9181250000,Ahmedabad,Deodorant,North,Gujarat,4,Minimalist,Wellness,P100079,180498.52,1957.76,51,3827.24,44.63
9/30/2024,CUST100080,ORD200080,Shreya,shreya80@gmail.com,9171390000,Lucknow,Face Wash,West,Uttar Pradesh,4,Minimalist,Haircare,P100080,190463.39,3818.08,275,2455.54,3.03
1/10/2024,CUST100081,ORD200081,Rohan,rohan81@gmail.com,9176510000,Mumbai,Toner,West,Maharashtra,1,L'Oreal,Accessories,P100081,168579.62,11807.97,149,4664.67,44.34
2/10/2024,CUST100082,ORD200082,Ishita,ishita82@gmail.com,9169030000,Nagpur,Perfume,East,Maharashtra,5,Lakme,Beauty,P100082,119103.72,32473.22,219,3568.62,35.76
3/10/2024,CUST100083,ORD200083,Kavya,kavya83@gmail.com,9182320000,Indore,Hand Sanitizer,North,Madhya Pradesh,4,Lakme,Wellness,P100083,82559.37,12922.84,122,3764.83,1.83
4/10/2024,CUST100084,ORD200084,Aditya,aditya84@gmail.com,9160490000,Pune,Deodorant,South,Maharashtra,4,Lakme,Fashion,P100084,98845.87,7507.65,211,1064.97,21.47
5/10/2024,CUST100085,ORD200085,Kavya,kavya85@gmail.com,9193840000,Coimbatore,Body Lotion,North,Tamil Nadu,5,Maybelline,Haircare,P100085,174649.82,15894.06,280,3908.75,37.72
6/10/2024,CUST100086,ORD200086,Akshay,akshay86@gmail.com,9179590000,Nagpur,Lip Balm,North,Maharashtra,5,Lakme,Wellness,P100086,60978.28,5049.74,26,4177.26,29.16
7/10/2024,CUST100087,ORD200087,Sneha,sneha87@gmail.com,9178390000,Mumbai,Conditioner,East,Maharashtra,4,Huda Beauty,Wellness,P100087,32693.08,18861.65,173,1870.21,46.79
8/10/2024,CUST100088,ORD200088,Ishita,ishita88@gmail.com,9162120000,Delhi,Serum,North,Delhi,4,L'Oreal,Wellness,P100088,29023.02,27054.61,156,1145.48,43.38
9/10/2024,CUST100089,ORD200089,Aditya,aditya89@gmail.com,9165910000,Jaipur,Perfume,North,Rajasthan,3,Huda Beauty,Beauty,P100089,165571.93,14817.06,238,1986.75,16.63
10/10/2024,CUST100090,ORD200090,Rohan,rohan90@gmail.com,9185840000,Nagpur,Body Lotion,East,Maharashtra,4,MAC,Beauty,P100090,152535.65,7027.1,376,3724.08,4.23
11/10/2024,CUST100091,ORD200091,Shreya,shreya91@gmail.com,9166670000,Ahmedabad,Toothpaste,North,Gujarat,3,Lakme,Fashion,P100091,100031.42,18182.58,82,2146.43,47.21
12/10/2024,CUST100092,ORD200092,Diya,diya92@gmail.com,9170680000,Nagpur,Sunscreen,North,Maharashtra,2,The Body Shop,Skincare,P100092,55699.41,30523.32,492,3709.59,25.86
10/13/2024,CUST100093,ORD200093,Amit,amit93@gmail.com,9192530000,Ahmedabad,Conditioner,West,Gujarat,5,Maybelline,Skincare,P100093,135845.02,3156.11,356,656.47,3.72
10/14/2024,CUST100094,ORD200094,Vivaan,vivaan94@gmail.com,9187400000,Ahmedabad,Shampoo,East,Gujarat,2,MAC,Skincare,P100094,8648.19,2930.39,490,4049.46,40.83
10/15/2024,CUST100095,ORD200095,Meera,meera95@gmail.com,9166500000,Delhi,Body Wash,East,Delhi,4,The Body Shop,Haircare,P100095,114077.34,12792.62,413,1340.72,43.43
10/16/2024,CUST100096,ORD200096,Rahul,rahul96@gmail.com,9190720000,Jaipur,Conditioner,East,Rajasthan,3,Maybelline,Haircare,P100096,80286.61,16660.61,273,1319.75,31.97
10/17/2024,CUST100097,ORD200097,Shreya,shreya97@gmail.com,9166530000,Pune,Soap,North,Maharashtra,5,Minimalist,Fashion,P100097,195594.07,8737.23,68,2992.87,22.38
10/18/2024,CUST100098,ORD200098,Aditya,aditya98@gmail.com,9167820000,Kolkata,Deodorant,West,West Bengal,3,MAC,Haircare,P100098,102004.49,1173.73,44,443.58,33.11
10/19/2024,CUST100099,ORD200099,Vivaan,vivaan99@gmail.com,9184390000,Indore,Face Mask,West,Madhya Pradesh,5,Minimalist,Skincare,P100099,110901.28,8860.43,493,228.86,35.33
10/20/2024,CUST100100,ORD200100,Meera,meera100@gmail.com,9194670000,Mumbai,Perfume,South,Maharashtra,5,L'Oreal,Skincare,P100100,142760.17,17471.26,61,1379.04,44.65
10/21/2024,CUST100101,ORD200101,Priya,priya101@gmail.com,9174800000,Delhi,Face Wash,East,Delhi,5,Huda Beauty,Wellness,P100101,97423.16,3269.15,123,2736.53,47.79
10/22/2024,CUST100102,ORD200102,Ananya,ananya102@gmail.com,9184360000,Bangalore,Shampoo,West,Karnataka,3,Nykaa Cosmetics,Haircare,P100102,45689.16,28664.08,349,4547.32,25.72
10/23/2024,CUST100103,ORD200103,Vivaan,vivaan103@gmail.com,9175860000,Bangalore,Body Lotion,West,Karnataka,4,Huda Beauty,Beauty,P100103,107918.29,22128.82,196,4247.53,39.92
10/24/2024,CUST100104,ORD200104,Kavya,kavya104@gmail.com,9196480000,Patna,Shaving Cream,West,Bihar,3,Lakme,Beauty,P100104,188909.51,17434.16,330,2503.19,48.23
10/25/2024,CUST100105,ORD200105,Vivaan,vivaan105@gmail.com,9187740000,Indore,Face Cream,East,Madhya Pradesh,3,Minimalist,Wellness,P100105,82572.29,20796.6,409,281.55,7.56
10/26/2024,CUST100106,ORD200106,Ishita,ishita106@gmail.com,9166330000,Coimbatore,Hair Oil,North,Tamil Nadu,3,The Body Shop,Wellness,P100106,136248.55,26266.66,479,2722.74,0.91
10/27/2024,CUST100107,ORD200107,Neha,neha107@gmail.com,9175140000,Bangalore,Toothpaste,South,Karnataka,4,Nykaa Cosmetics,Wellness,P100107,195628.8,39792.46,323,3553.5,43.45
10/28/2024,CUST100108,ORD200108,Shreya,shreya108@gmail.com,9183790000,Chandigarh,Body Wash,South,Punjab,5,Maybelline,Beauty,P100108,166154.54,31027.29,111,1761.91,9.76
10/29/2024,CUST100109,ORD200109,Rohan,rohan109@gmail.com,9173180000,Kolkata,Face Mask,North,West Bengal,5,Minimalist,Skincare,P100109,132147.79,21660.49,258,644.21,2.12
10/30/2024,CUST100110,ORD200110,Vikram,vikram110@gmail.com,9186800000,Bangalore,Sunscreen,East,Karnataka,5,L'Oreal,Wellness,P100110,147463.3,30844.3,89,1464.98,8
10/31/2024,CUST100111,ORD200111,Meera,meera111@gmail.com,9196570000,Kolkata,Face Mask,West,West Bengal,5,L'Oreal,Fashion,P100111,187360.17,19061.45,433,3880.79,19.21
1/11/2024,CUST100112,ORD200112,Ishita,ishita112@gmail.com,9168220000,Jaipur,Aftershave,North,Rajasthan,3,Minimalist,Wellness,P100112,191990.67,12505.26,198,1821.09,10.96
2/11/2024,CUST100113,ORD200113,Ananya,ananya113@gmail.com,9189500000,Hyderabad,Conditioner,South,Telangana,3,Minimalist,Accessories,P100113,193824.66,10552.25,282,4078.71,15.26
3/11/2024,CUST100114,ORD200114,Ananya,ananya114@gmail.com,9160820000,Coimbatore,Moisturizer,East,Tamil Nadu,3,Minimalist,Wellness,P100114,125502.68,16039.22,200,1665.66,48.76
4/11/2024,CUST100115,ORD200115,Rahul,rahul115@gmail.com,9194990000,Lucknow,Moisturizer,West,Uttar Pradesh,5,Maybelline,Beauty,P100115,77557.62,191.1,99,901.42,35.22
5/11/2024,CUST100116,ORD200116,Aarav,aarav116@gmail.com,9197250000,Pune,Conditioner,South,Maharashtra,5,Lakme,Haircare,P100116,27497.47,7160.54,27,2235.66,35.61
6/11/2024,CUST100117,ORD200117,Ishita,ishita117@gmail.com,9189100000,Chennai,Serum,South,Tamil Nadu,4,Maybelline,Wellness,P100117,77724.05,5148.68,89,2316.15,4.73
7/11/2024,CUST100118,ORD200118,Akshay,akshay118@gmail.com,9182800000,Bangalore,Soap,South,Karnataka,2,MAC,Haircare,P100118,188648.14,38417.65,146,178.93,36.6
8/11/2024,CUST100119,ORD200119,Harshita,harshita119@gmail.com,9167480000,Patna,Conditioner,West,Bihar,5,The Body Shop,Accessories,P100119,178069.62,2687.43,182,673.52,36.97
9/11/2024,CUST100120,ORD200120,Vivaan,vivaan120@gmail.com,9160140000,Chandigarh,Face Wash,South,Punjab,1,Minimalist,Fashion,P100120,105208.27,20088.81,257,1006.14,32.99
10/11/2024,CUST100121,ORD200121,Vikram,vikram121@gmail.com,9185650000,Jaipur,Body Wash,East,Rajasthan,5,The Body Shop,Haircare,P100121,107864.45,36796.75,189,656.58,11.42
11/11/2024,CUST100122,ORD200122,Ishita,ishita122@gmail.com,9184570000,Chandigarh,Hair Oil,East,Punjab,5,Lakme,Skincare,P100122,62475.15,24340.06,240,1773.48,21.15
12/11/2024,CUST100123,ORD200123,Akshay,akshay123@gmail.com,9194970000,Mumbai,Face Wash,West,Maharashtra,3,Nykaa Cosmetics,Wellness,P100123,91447.07,19861.24,359,4826.65,42.31
11/13/2024,CUST100124,ORD200124,Kavya,kavya124@gmail.com,9194960000,Nagpur,Moisturizer,East,Maharashtra,4,Maybelline,Accessories,P100124,143175.25,29745.44,387,2595.19,33.51
11/14/2024,CUST100125,ORD200125,Ishita,ishita125@gmail.com,9193830000,Kolkata,Soap,North,West Bengal,4,Lakme,Accessories,P100125,81083.71,14199.67,196,3175.02,36.64
11/15/2024,CUST100126,ORD200126,Aditya,aditya126@gmail.com,9191100000,Ahmedabad,Soap,East,Gujarat,4,The Body Shop,Haircare,P100126,38408.79,7829.21,297,1846.29,29.37
11/16/2024,CUST100127,ORD200127,Shreya,shreya127@gmail.com,9194780000,Coimbatore,Body Lotion,South,Tamil Nadu,5,Nykaa Cosmetics,Fashion,P100127,108631.06,33906.57,165,1685.09,22.48
11/17/2024,CUST100128,ORD200128,Rahul,rahul128@gmail.com,9166420000,Indore,Conditioner,South,Madhya Pradesh,4,Maybelline,Beauty,P100128,45842.05,2357.63,307,213.42,37.95
11/18/2024,CUST100129,ORD200129,Vikram,vikram129@gmail.com,9180190000,Mumbai,Serum,East,Maharashtra,4,L'Oreal,Wellness,P100129,194883.22,32330.98,271,2551.63,3.4
11/19/2024,CUST100130,ORD200130,Sanya,sanya130@gmail.com,9168110000,Indore,Face Wash,East,Madhya Pradesh,4,Maybelline,Accessories,P100130,78677.64,4224.31,8,2469.68,33.66
11/20/2024,CUST100131,ORD200131,Ananya,ananya131@gmail.com,9194620000,Bangalore,Body Wash,West,Karnataka,5,Huda Beauty,Fashion,P100131,182023.33,25060.16,38,873.37,49.86
11/21/2024,CUST100132,ORD200132,Aditya,aditya132@gmail.com,9166310000,Kolkata,Aftershave,West,West Bengal,3,Maybelline,Skincare,P100132,45885.25,19134.19,114,3845.19,39.01
11/22/2024,CUST100133,ORD200133,Sanya,sanya133@gmail.com,9184890000,Chennai,Conditioner,North,Tamil Nadu,4,Huda Beauty,Accessories,P100133,38652.59,39941.79,339,2514.1,14.53
11/23/2024,CUST100134,ORD200134,Rohan,rohan134@gmail.com,9173860000,Delhi,Lip Balm,East,Delhi,3,Nykaa Cosmetics,Fashion,P100134,123763.32,15578.04,56,1761.07,13.89
11/24/2024,CUST100135,ORD200135,Vivaan,vivaan135@gmail.com,9189440000,Nagpur,Soap,North,Maharashtra,5,Maybelline,Beauty,P100135,156096.44,38295.74,431,819.85,33.36
11/25/2024,CUST100136,ORD200136,Ishita,ishita136@gmail.com,9171230000,Ahmedabad,Body Wash,East,Gujarat,5,Nykaa Cosmetics,Beauty,P100136,113786.15,16210.84,474,2805.59,44.79
11/26/2024,CUST100137,ORD200137,Ishita,ishita137@gmail.com,9195380000,Coimbatore,Shaving Cream,North,Tamil Nadu,4,Nykaa Cosmetics,Accessories,P100137,46729.34,27299.85,359,3788.8,28.9
